		Img    	   rate    	 PSNR         SSIM
      01lenna 	  0.100 	 32.896 	 0.8905 	 0.2521 
    02barbara 	  0.100 	 24.437 	 0.7272 	 0.1168 
    03peppers 	  0.100 	 33.475 	 0.8718 	 0.0836 
   04mandrill 	  0.100 	 22.498 	 0.6100 	 0.0898 
   05goldhill 	  0.100 	 30.552 	 0.8192 	 0.1067 
      06boats 	  0.100 	 29.656 	 0.8331 	 0.0894 
  07cameraman 	  0.100 	 33.100 	 0.9417 	 0.1125 
        08man 	  0.100 	 30.213 	 0.8465 	 0.0879 
      09clown 	  0.100 	 32.520 	 0.9002 	 0.0941 
     10couple 	  0.100 	 29.326 	 0.8366 	 0.1097 
      11crowd 	  0.100 	 31.083 	 0.9102 	 0.0959 
       12girl 	  0.100 	 35.691 	 0.9188 	 0.0906 
       13lake 	  0.100 	 29.343 	 0.8343 	 0.0858 
		Avg       0.100 	 30.369 	 0.8415 	 0.1248 
