		Img    	   rate    	 PSNR         SSIM
      01lenna 	  0.300 	 37.847 	 0.9478 	 0.1045 
    02barbara 	  0.300 	 26.898 	 0.8667 	 0.0894 
    03peppers 	  0.300 	 36.681 	 0.9167 	 0.0962 
   04mandrill 	  0.300 	 26.052 	 0.8443 	 0.0812 
   05goldhill 	  0.300 	 34.905 	 0.9236 	 0.0819 
      06boats 	  0.300 	 34.733 	 0.9191 	 0.0795 
  07cameraman 	  0.300 	 44.104 	 0.9921 	 0.0857 
        08man 	  0.300 	 34.937 	 0.9441 	 0.0812 
      09clown 	  0.300 	 38.553 	 0.9610 	 0.0800 
     10couple 	  0.300 	 34.654 	 0.9396 	 0.0813 
      11crowd 	  0.300 	 38.100 	 0.9790 	 0.0803 
       12girl 	  0.300 	 41.374 	 0.9719 	 0.0967 
       13lake 	  0.300 	 33.917 	 0.9144 	 0.0819 
		Avg       0.300 	 35.596 	 0.9323 	 0.1037 
