		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.200 	 25.573 	 0.7504 	 0.0967 
      barbara 	  0.200 	 28.400 	 0.8506 	 0.1603 
       bridge 	  0.200 	 27.556 	 0.8355 	 0.1088 
   coastguard 	  0.200 	 32.074 	 0.8846 	 0.0520 
        comic 	  0.200 	 27.724 	 0.8996 	 0.0588 
         face 	  0.200 	 35.368 	 0.8805 	 0.0438 
      flowers 	  0.200 	 33.064 	 0.9287 	 0.0792 
      foreman 	  0.200 	 36.514 	 0.9648 	 0.0537 
        lenna 	  0.200 	 36.213 	 0.9204 	 0.0893 
          man 	  0.200 	 30.822 	 0.8769 	 0.0881 
      monarch 	  0.200 	 37.914 	 0.9749 	 0.1866 
       pepper 	  0.200 	 36.797 	 0.9155 	 0.0874 
         ppt3 	  0.200 	 33.541 	 0.9859 	 0.2003 
        zebra 	  0.200 	 33.575 	 0.9335 	 0.1332 
		Avg       0.200 	 32.510 	 0.9001 	 0.1027 
