		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.100 	 23.680 	 0.6065 	 0.1376 
      barbara 	  0.100 	 26.645 	 0.7790 	 0.1679 
       bridge 	  0.100 	 25.453 	 0.7177 	 0.1154 
   coastguard 	  0.100 	 28.503 	 0.7316 	 0.0529 
        comic 	  0.100 	 24.624 	 0.7850 	 0.0561 
         face 	  0.100 	 33.659 	 0.8293 	 0.0557 
      flowers 	  0.100 	 29.485 	 0.8547 	 0.0796 
      foreman 	  0.100 	 33.731 	 0.9384 	 0.0564 
        lenna 	  0.100 	 33.666 	 0.8843 	 0.0924 
          man 	  0.100 	 28.657 	 0.8035 	 0.0926 
      monarch 	  0.100 	 34.248 	 0.9556 	 0.1913 
       pepper 	  0.100 	 34.838 	 0.8918 	 0.0915 
         ppt3 	  0.100 	 28.624 	 0.9642 	 0.1958 
        zebra 	  0.100 	 29.576 	 0.8514 	 0.1438 
		Avg       0.100 	 29.671 	 0.8281 	 0.1092 
